Test Method=tm1(), Test Class=CTest [JUNIT3], References={CTest.c:C, var3:int, var1:int, var1:int, CTest.c:C, C.FLAG:UNKNOWNP.UNKNOWN, C.FLAG:UNKNOWNP.UNKNOWN, var1:int, var3:int, var1:int, var3:int, CTest.c:C, CTest.c:C, }, Invocations={CFactory.makeC.makeC():void, junit.framework.TestCase.thm3(java.lang.StringBuffer, boolean):UNKNOWNP.UNKNOWN, junit.framework.TestCase.thm3(java.lang.StringBuffer, boolean):UNKNOWNP.UNKNOWN, C.m1(java.lang.StringBuffer, boolean, UNKNOWNP.UNKNOWN):int, C.m2(java.lang.StringBuffer):UNKNOWNP.UNKNOWN, java.lang.StringBuffer.StringBuffer(java.lang.String):void, C.m3(java.lang.StringBuffer):UNKNOWNP.UNKNOWN, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm2(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm1(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm1(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm2(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, }, Assertions={fail, }
id=5549 rank=34 score=2.000 fqn=org.joda.time.TestYearMonthDay_Properties heuristics={A:1.000, R:1.000}
id=17199 rank=34 score=2.000 fqn=org.mifos.config.AccountingRulesTest heuristics={A:1.000, R:1.000}
id=5564 rank=34 score=2.000 fqn=org.joda.time.TestDateTimeComparator heuristics={A:1.000, R:1.000}
id=6219 rank=34 score=2.000 fqn=net.sf.ehcache.constructs.web.AbstractWebTest heuristics={A:1.000, R:1.000}
id=5483 rank=34 score=2.000 fqn=org.joda.time.TestDateMidnight_Basics heuristics={A:1.000, R:1.000}
id=5539 rank=34 score=2.000 fqn=org.joda.time.TestTimeOfDay_Basics heuristics={A:1.000, R:1.000}
id=18759 rank=34 score=2.000 fqn=net.sf.classifier4J.bayesian.BayesianClassifierTest heuristics={A:1.000, R:1.000}
id=6981 rank=34 score=2.000 fqn=datadog.sessions.JdbcSessionTest heuristics={A:1.000, R:1.000}
id=8300 rank=34 score=2.000 fqn=net.sf.jguiraffe.gui.platform.swing.builder.utils.TestSwingMessageOutput heuristics={A:1.000, R:1.000}
id=11215 rank=34 score=2.000 fqn=net.sourceforge.cruisecontrol.sourcecontrols.SVNTest heuristics={A:1.000, R:1.000}
id=1370 rank=34 score=2.000 fqn=jat.spacetime.unittest.LunaFixedRefTest heuristics={A:1.000, R:1.000}
id=17378 rank=34 score=2.000 fqn=org.mifos.customers.CenterUpdateTest heuristics={A:1.000, R:1.000}
id=19755 rank=34 score=2.000 fqn=org.acegisecurity.acl.basic.jdbc.JdbcExtendedDaoImplTests heuristics={A:1.000, R:1.000}
id=5473 rank=34 score=2.000 fqn=org.joda.time.TestMutableDateTime_Constructors heuristics={A:1.000, R:1.000}
id=6573 rank=34 score=2.000 fqn=com.amazon.carbonado.raw.TestEncodingStrategy heuristics={A:1.000, R:1.000}
id=17524 rank=34 score=2.000 fqn=org.mifos.customers.persistence.CustomerPersistenceIntegrationTest heuristics={A:1.000, R:1.000}
id=8229 rank=34 score=2.000 fqn=net.sf.jguiraffe.gui.app.cmd.TestCommandQueue heuristics={A:1.000, R:1.000}
id=3609 rank=34 score=2.000 fqn=org.exist.xmldb.test.DOMTestJUnit heuristics={A:1.000, R:1.000}
id=9358 rank=34 score=2.000 fqn=org.acegisecurity.vote.BasicAclEntryVoterTests heuristics={A:1.000, R:1.000}
id=11517 rank=34 score=2.000 fqn=net.sourceforge.cruisecontrol.distributed.BuildAgentServiceImplTest heuristics={A:1.000, R:1.000}
id=3032 rank=34 score=2.000 fqn=junittests.ScannerTest heuristics={A:1.000, R:1.000}
id=3575 rank=34 score=2.000 fqn=org.exist.xmldb.test.IndexingTest heuristics={A:1.000, R:1.000}
id=17247 rank=34 score=2.000 fqn=org.mifos.customers.business.CustomerAccountBOIntegrationTest heuristics={A:1.000, R:1.000}
id=3881 rank=34 score=2.000 fqn=org.exist.storage.BTreeRecoverTest heuristics={A:1.000, R:1.000}
id=4394 rank=34 score=2.000 fqn=tests.org.ntropa.build.mapper.MapperTest heuristics={A:1.000, R:1.000}
id=3703 rank=34 score=2.000 fqn=org.exist.storage.test.RecoveryTest2 heuristics={A:1.000, R:1.000}
id=5491 rank=34 score=2.000 fqn=org.joda.time.convert.TestConverterManager heuristics={A:1.000, R:1.000}
id=17010 rank=34 score=2.000 fqn=org.mifos.application.holiday.persistence.HolidayServiceFacadeWebTierTest heuristics={A:1.000, R:1.000}
id=5557 rank=34 score=2.000 fqn=org.joda.time.TestPartial_Properties heuristics={A:1.000, R:1.000}
id=3680 rank=34 score=2.000 fqn=org.exist.storage.test.RecoverBinaryTest heuristics={A:1.000, R:1.000}
id=3814 rank=34 score=2.000 fqn=org.exist.xmldb.BinaryResourceUpdateTest heuristics={A:1.000, R:1.000}
id=5535 rank=34 score=2.000 fqn=org.joda.time.format.TestDateTimeFormatter heuristics={A:1.000, DF:1.000}
id=16701 rank=34 score=2.000 fqn=org.mifos.accounts.productdefinition.business.SavingsOfferingBOIntegrationTest heuristics={A:1.000, R:1.000}
id=19478 rank=34 score=2.000 fqn=fll.web.FullTournamentTest heuristics={A:1.000, R:1.000}
id=8282 rank=34 score=2.000 fqn=net.sf.jguiraffe.gui.layout.TestBorderLayout heuristics={A:1.000, R:1.000}
id=14467 rank=34 score=2.000 fqn=net.sf.jpd.common.DownloaderTest heuristics={A:1.000, R:1.000}
id=7590 rank=34 score=2.000 fqn=com.kneobase.search.query.HitsTest heuristics={A:1.000, R:1.000}
id=19157 rank=34 score=2.000 fqn=cppncss.analyzer.preprocessor.PreProcessorTest heuristics={A:1.000, R:1.000}
id=11148 rank=34 score=2.000 fqn=net.sourceforge.cruisecontrol.builders.NantBuilderTest heuristics={A:1.000, R:1.000}
id=11659 rank=34 score=2.000 fqn=edu.iu.iv.toolkits.vwtk.test.datamodel.user.db.TestUserDatabaseViews heuristics={A:1.000, R:1.000}
id=13627 rank=34 score=2.000 fqn=ie.omk.smpp.AddressTest heuristics={A:1.000, R:1.000}
id=3589 rank=34 score=2.000 fqn=org.exist.xmldb.test.MultiDBTest heuristics={A:1.000, R:1.000}
id=3759 rank=34 score=2.000 fqn=org.exist.xquery.SAXStorageTest heuristics={A:1.000, R:1.000}
id=3873 rank=34 score=2.000 fqn=org.exist.storage.DOMFileRecoverTest heuristics={A:1.000, R:1.000}
id=17320 rank=34 score=2.000 fqn=org.mifos.framework.util.helpers.DateUtilsTest heuristics={A:1.000, R:1.000}
id=3788 rank=34 score=2.000 fqn=org.exist.xquery.SeqOpTest heuristics={A:1.000, R:1.000}
id=3895 rank=34 score=2.000 fqn=org.exist.storage.BFileRecoverTest heuristics={A:1.000, R:1.000}
id=5468 rank=34 score=2.000 fqn=org.joda.time.TestDateTime_Basics heuristics={A:1.000, R:1.000}
id=5526 rank=34 score=2.000 fqn=org.joda.time.TestYears heuristics={A:1.000, R:1.000}
id=11495 rank=34 score=2.000 fqn=net.sourceforge.cruisecontrol.ScheduleTest heuristics={A:1.000, R:1.000}
id=5499 rank=34 score=2.000 fqn=org.joda.time.TestLocalDate_Basics heuristics={A:1.000, R:1.000}
id=5550 rank=34 score=2.000 fqn=org.joda.time.format.TestPeriodFormatter heuristics={A:1.000, DF:1.000}
id=4704 rank=34 score=2.000 fqn=org.carrot2.input.yahooapi.YahooSearchServiceTest heuristics={A:1.000, R:1.000}
id=6239 rank=34 score=2.000 fqn=net.sf.ehcache.CacheManagerTest heuristics={A:1.000, R:1.000}
id=578 rank=34 score=2.000 fqn=org.concern.devel.graph.petrilike.PetriLikeModelAdapterTest heuristics={A:1.000, R:1.000}
id=3503 rank=34 score=2.000 fqn=org.exist.xquery.test.SeqOpTest heuristics={A:1.000, R:1.000}
